sysFileName,sysText,spkrFileName,spkrText
219, Hello  ,218,Good morning
213,What a very pretty dress,223,Really?
126,Yes,216,Thank you
57,Give it to me,100,I can't
177,Why?,98,This is mine
218,Good morning,219, Hello  
193,It's cold today isn't it?,126,Yes
200,Shut the window,123,Which
124,That,227,All right
217,Thank you very much,220,Good bye
189,Let's have some music shall we?,114,Please
227,All right,18,Wonderful
76,You are enjoying it,126,Yes
7,Excellent,19,John's coming
223,Really?,126,Yes
209,Come and have dinner with us,223,Really?
126,Yes,225,Thank You
210,Have some cheese,4,No
201,Do have some more tea?,8,Definitely
152,You like it?,141,I liked it very much
164,I shan't tell you again,121,What
208,Take your feet off the chair,100,I can't
207,Don't be a stupid idiot,55,Who's that?
113,You,116,Me
126,Yes,214,Nonsense
19,John's coming,178,When?
52,Six,18,Wonderful
54,Can you be here by five?,8,Definitely
133,Don't be late,227,All right
226,Good,225,Thank you
